env_steps,epoch,sac/log_pi,sac/policy_loss,sac/qf1_loss,sac/qf2_loss,sac/alpha_loss,sac/alpha,sac/average_qf1,sac/average_qf2,sac/average_target_q,sac/total_steps,average_return,average_traj_length,rollout_time,train_time,eval_time,epoch_time,_timestamp,_runtime
1000,0,-98.48100280761719,-294.56268310546875,8531.73046875,8530.609375,-74.585205078125,0.7379841804504395,228.17318725585938,228.1586151123047,258.03448486328125,1000,0.07124144,10.0,2.598512649536133,12.182538747787476,0.09474754333496094,14.87579894065857,1657773516,30
2000,1,-86.97456359863281,-384.345947265625,9268.3984375,9275.328125,-140.44851684570312,0.5486620664596558,324.8126220703125,324.76165771484375,367.13580322265625,2000,1.7026231288909912,12.167078018188477,0.0,13.869701147079468,1657773530,44
3000,2,-58.08843994140625,-430.1717834472656,19660.67578125,19672.919921875,-181.02870178222656,0.41367030143737793,370.9833679199219,370.9029235839844,415.27008056640625,3000,1.69655442237854,12.11052393913269,0.0,13.80707836151123,1657773543,57
4000,3,-15.468412399291992,-470.06048583984375,22734.84375,22760.89453125,-185.56787109375,0.31912314891815186,405.335693359375,405.3438415527344,457.9337158203125,4000,1.6174712181091309,12.08428144454956,0.0,13.701752662658691,1657773557,71
5000,4,38.54716110229492,-551.15478515625,20619.87890625,20636.69921875,-148.95620727539062,0.25322791934013367,467.8428955078125,467.8472900390625,525.097412109375,5000,1.7216286659240723,12.032003402709961,0.0,13.753632068634033,1657773571,85
6000,5,108.94158172607422,-754.5948486328125,31616.48046875,31594.88671875,-58.64318084716797,0.21419405937194824,622.0233764648438,621.619140625,695.714599609375,6000,1.656909704208374,11.97755479812622,0.0,13.634464502334595,1657773585,99
7000,6,174.69570922851562,-1260.6007080078125,108531.03125,108740.015625,43.03997802734375,0.2113943248987198,1002.7880859375,1002.9301147460938,1102.32177734375,7000,1.737100601196289,12.352521419525146,0.0,14.089622020721436,1657773599,113
8000,7,218.1455535888672,-2148.3740234375,305877.0,306746.34375,92.82374572753906,0.2712533473968506,1697.423095703125,1697.363525390625,1915.400146484375,8000,1.6824140548706055,13.17164945602417,0.0,14.854063510894775,1657773614,128
9000,8,241.0128173828125,-3895.17919921875,1060659.0,1063490.75,88.54206848144531,0.38992199301719666,3094.86328125,3094.35400390625,3499.040771484375,9000,1.87559175491333,12.744017362594604,0.0,14.619609117507935,1657773628,142
10000,9,262.150146484375,-6536.1279296875,2537472.75,2533670.5,67.22299194335938,0.5577828288078308,5284.1259765625,5284.5732421875,5942.8369140625,10000,0.06309298,10.0,1.7281708717346191,12.853341341018677,0.09927845001220703,14.680790662765503,1657773643,157
11000,10,276.1846923828125,-10387.419921875,7893176.0,7909151.0,30.988601684570312,0.7867236137390137,8450.291015625,8445.2373046875,9547.716796875,11000,1.7437288761138916,12.365511894226074,0.0,14.109240770339966,1657773657,171
12000,11,281.0864562988281,-15511.759765625,15940144.0,15974796.0,-11.60222339630127,1.0903817415237427,12669.83984375,12669.779296875,14500.0,12000,1.5942208766937256,12.806959629058838,0.0,14.401180505752563,1657773671,185
13000,12,281.8111572265625,-22530.771484375,46322760.0,46334264.0,-53.61662673950195,1.4884220361709595,18841.2421875,18839.28125,20912.24609375,13000,1.7385261058807373,12.455771923065186,0.0,14.194298028945923,1657773686,200
14000,13,279.423583984375,-30675.60546875,82601088.0,82731232.0,-93.50656127929688,2.026108980178833,25699.0859375,25698.08203125,29056.03515625,14000,1.9190387725830078,12.931297540664673,0.0,14.85033631324768,1657773700,214
15000,14,257.1100158691406,-36758.09375,116255080.0,116577264.0,-108.20510864257812,2.6716604232788086,31768.708984375,31773.94140625,35709.54296875,15000,1.7771613597869873,12.58387565612793,0.0,14.361037015914917,1657773715,229
16000,15,227.76947021484375,-40120.6328125,133824544.0,134006360.0,-98.84173583984375,3.3999178409576416,35059.671875,35054.05859375,39961.8125,16000,1.6966795921325684,13.030502080917358,0.0,14.727181673049927,1657773730,244
17000,16,199.9055938720703,-42478.44140625,121424912.0,121797840.0,-76.13134765625,4.216492176055908,37298.09375,37303.95703125,42323.578125,17000,1.6746490001678467,12.85655951499939,0.0,14.531208515167236,1657773744,258
18000,17,178.66250610351562,-43281.421875,143835040.0,143780672.0,-51.15431594848633,5.030962944030762,38644.81640625,38642.84765625,43203.34375,18000,1.735985517501831,12.850430250167847,0.0,14.586415767669678,1657773759,273
19000,18,160.03353881835938,-42990.484375,167453248.0,167319808.0,-22.675745010375977,5.696199893951416,38157.54296875,38151.3984375,43154.93359375,19000,1.8786778450012207,12.779120206832886,0.0,14.657798051834106,1657773773,287
20000,19,147.3982696533203,-42013.26171875,141194848.0,141421440.0,-0.7208887934684753,6.110884666442871,37364.7890625,37358.7265625,42485.9609375,20000,0.0,10.0,1.6884527206420898,12.628046989440918,0.09474515914916992,14.411244869232178,1657773788,302
21000,20,145.49615478515625,-41101.28515625,117782872.0,117703696.0,2.750666618347168,6.228187084197998,37214.046875,37201.07421875,41361.87890625,21000,1.6978516578674316,13.107832908630371,0.0,14.805684566497803,1657773803,317
22000,21,147.12355041503906,-40671.1484375,140431248.0,140748672.0,-0.2274247407913208,6.301540374755859,36345.7421875,36343.890625,40528.78515625,22000,1.6965429782867432,12.660906791687012,0.0,14.357449769973755,1657773817,331
23000,22,144.8784942626953,-40180.6875,87597544.0,87717416.0,3.94095778465271,6.408555030822754,35983.09375,35989.4765625,40168.4765625,23000,1.8372557163238525,12.884327173233032,0.0,14.721582889556885,1657773832,346
